scientific-name,family-name,abundance
Ophioglossum lusitanicum,Ophioglossacées,R
Osmunda regalis,Osmundacées,C
Cystopteris filix-fragilis,Polypodiacées,C
Dryopteris aculeata,Polypodiacées,R
Dryopteris fiiix-mas,Polypodiacées,RR
Dryopteris villarsii,Polypodiacées,AR
Asplenium petrarchae,Polypodiacées,R
Asplenium obovatum,Polypodiacées,AR
Blechnum spicant,Polypodiacées,RR
Phyllitis hemionitis,Polypodiacées,AR
Athyrium filix-femina,Polypodiacées,AR
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Polypodium vulgare,Polypodiacées,CC
Pilularia minuta,Marsileacées,RR
Isoetes velata ssp. perralderiana,Isoetacées,RR
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes duriaei,Isoetacées,R
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Taxus baccata,Taxacées,AR
Juniperus oxycedrus ssp. macrocarpa,Cupressacées,C
Juniperus communis,Cupressacées,R
Juniperus phoenica,Cupressacées,C
Juniperus sabina,Cupressacées,RR
Cedrus libanotica ssp. atlantica,Pinacées,AC
Pinus halepensis,Pinacées,CC
Pinus clusiana ssp. mauretanica,Pinacées,RR
Ephedra altissima,Ephedracées,C
Ephedra major,Ephedracées,AC
Typha angustifolia ssp. australis,Typhacées,CC
Sparganium erectum ssp. neglectum,Sparganiacées,AC
Posidonia oceanica,Posidoniacées,CC
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton oblongus,Potamogetonacées,AR
Potamogeton pectinatus,Potamogetonacées,AC
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Cymodocea nodosa,Zannichelliacées,CC
Triglochin laxiflora,Juncaginacées,C
Triglochin bulbosa,Juncaginacées,AC
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Sorghum halepense,Graminées,C
Andropogon distachyus,Graminées,R
Hyparrhenia hirta,Graminées,CC
Digitaria sanguinalis,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria viridis,Graminées,C
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. eu-odoratum,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Crypsis schoenoides,Graminées,C
Crypsis alopecuroides,Graminées,AR
Alopecurus gerardi,Graminées,RRR
Phleum pratense ssp. nodosum,Graminées,AC
Phleum phleoides,Graminées,AR
Agrostis salmantica,Graminées,C
Agrostis reuteri,Graminées,C
Agrostis semiverticillata,Graminées,C
Agrostis stolonifera ssp. gigantea,Graminées,RR
Agrostis stolonifera ssp. castellana,Graminées,R
Gastridium scabrum,Graminées,CC
Gastridium ventricosnm,Graminées,AC
Polypogon monspeliensis,Graminées,CC
Polypogon maritimum ssp. eu-maritimus,Graminées,C
Lagurus ovatus,Graminées,CC
Ammophila arenaria var. arundinacea,Graminées,C
Eragrostis cilianensis ssp. major,Graminées,C
Cynodon dactylon,Graminées,C
Arundo plinii,Graminées,AC
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Ampelodesma mauritanicum,Graminées,CC
Holcus lanatus,Graminées,C
Corynephorus articulatus ssp. fasciculatus,Graminées,AR
