scientific-name,family-name,abundance
Cheilanthes pteridioides,Polypodiacées,RR
Equisetum ramosissimum,Equisetacées,CC
Ephedra alata ssp. decaisnei,Ephedracées,RR
Ephedra alata ssp. alenda,Ephedracées,RR
Ephedra alata ssp. montjeauzeana,Ephedracées,RR
Typha elephantina ssp. maresii,Typhacées,AC
Potamogeton perfoliatus,Potamogetonacées,AC
Zannichellia palustris ssp. pedunculata,Zannichelliacées,R
Lasiurus hirsutus,Graminées,AC
Eremopogon foveolatus,Graminées,AC
Dichanthium annulatum,Graminées,AC
Cymbopogon schoenunthus ssp. laniger,Graminées,C
Cymbopogon schoenunthus ssp. proximus,Graminées,RR
Digitaria commutata ssp. nodosa,Graminées,RR
Pennisetum setaceum ssp. orientale,Graminées,AC
Cenchrus ciliaris,Graminées,AR
Aristida pungens,Graminées,AR
Aristida adscencionis,Graminées,AC
Aristida brachyathera,Graminées,AR
Aristida ciiiata,Graminées,AC
Aristida sahelica,Graminées,AC
Aristida acutiflora ssp. eu-acutiflora,Graminées,R
Aristida plumosa ssp. eu-plumosa,Graminées,CC
Stipa fontanesii,Graminées,AC
Crypsis aculeata,Graminées,AC
Ductyloctenium aegyptium,Graminées,R
Enneapogon scaber,Graminées,AR
Tetrapogon villosus,Graminées,AC
Avena fatua,Graminées,AC
Danthonia forskalii,Graminées,CC
Schismus barbatus ssp. calycinus,Graminées,C
Ammochloa palaestina,Graminées,AR
Sphenopus divaricatus,Graminées,AC
Cutandia dichotoma var. dichotoma,Graminées,C
Cutandia dichotoma var. memphitica,Graminées,C
Bromus rubens ssp. eu-rubens,Graminées,AC
Bromus lanceolatus ssp. macrostachys,Graminées,R
Brachypodium distachyum,Graminées,CC
Pholiurus incurvus ssp. incurvatus,Graminées,C
Agropyron orientale ssp. distans,Graminées,AC
Cyperus laevigatus ssp. albidus,Cyperacées,R
Cyperus laevigatus ssp. distachyos,Cyperacées,AC
Cyperus bulbosus,Cyperacées,RR
Cyperus esculentus,Cyperacées,R
Cyperus rotundus ssp. eu-rotundus,Cyperacées,C
Cyperus rotundus ssp. tuberosus,Cyperacées,RR
Scirpus maritimus,Cyperacées,CC
Juncus maritimus,Juncacées,CC
Juncus bufonius ssp. eu-bufonius,Juncacées,AC
Androcymbium gramineum var. saharae,Liliacées,AC
Asphodelus refractus,Liliacées,AC
Asphodelus tenuifolius,Liliacées,C
Urginea noctiftora ssp. heliophylla,Liliacées,AC
Urginea fugax,Liliacées,C
Allium roseum,Liliacées,C
Pancratium trianthum,Amaryllidacées,AR
Populus euphratica var. mauritanîca,Salicacées,RR
Calligonum calvescens,Polygonacées,RR
Calligonum comosum,Polygonacées,C
Calligonum azel,Polygonacées,AC
Emex spinosa,Polygonacées,RR
Rumex cyprius ssp. vesceritensis,Polygonacées,R
Rumex cyprius ssp. coloratus,Polygonacées,R
Rumex simpliciflorus,Polygonacées,C
Rumex vesicarius,Polygonacées,RR
Polygonum equisetiforme,Polygonacées,R
Polygonum argyrocoleum,Polygonacées,R
Atriplex dimorphostegia,Chenopodiacées,AC
Atriplex halimus,Chenopodiacées,C
Atriplex mollis,Chenopodiacées,RR
Atriplex coriacea,Chenopodiacées,RR
Salicornia arabica var. typica,Chenopodiacées,CC
Arthrophytum schmittianum,Chenopodiacées,AC
Anabasis aretioides,Chenopodiacées,C
Anabasis oropediorum,Chenopodiacées,AC
Anabasis articulata,Chenopodiacées,C
Bassia muricata,Chenopodiacées,AR
Cornulaca monacantha,Chenopodiacées,AC
Halogeton sativus,Chenopodiacées,AC
Halogeton alopecuroides,Chenopodiacées,AC
Traganum nudatum,Chenopodiacées,C
Suaeda mollis,Chenopodiacées,C
Suaeda fruticosa,Chenopodiacées,C
Salsola tetragona,Chenopodiacées,AC
Salsola sieberi var. zygophylla,Chenopodiacées,R
Salsola sieberi var. vesceritensis,Chenopodiacées,R
Salsola sieberi var. glomerata,Chenopodiacées,R
Salsola vermiculata,Chenopodiacées,C
Salsola foetida,Chenopodiacées,R
Aerva persica,Amaranthacées,RR
Amaranthus angustifolius ssp. graecyzans,Amaranthacées,AC
Boerhaavia viscosa,Nyctaginacées,RR
Commicarpus stellatus,Nyctaginacées,R
Mollugo cerviana,Aizoacées,AR
Gisekia pharnaceoides,Aizoacées,R
Mesembryanthemum gaussenii,Aizoacées,R
Aizoon canariense,Aizoacées,AR
Portulaca oleracea ssp. silvestris,Portulacacées,C
Sclerocephalus arabicus,Caryophyllacées,AR
Illecebrum verticillatum,Caryophyllacées,RR
Gymnocarpos decander,Caryophyllacées,AC
Herniaria fontanesii,Caryophyllacées,AC
Paronychia arabica ssp. annua,Caryophyllacées,AC
Paronychia arabica ssp. cossoniana,Caryophyllacées,C
Paronychia capitata ssp. chlorothyrsa,Caryophyllacées,C
Telephium sphaerospermum,Caryophyllacées,AR
Polycarpaea repens,Caryophyllacées,RR
Polycarpaea confusa,Caryophyllacées,R
Spergularia marginata ssp. sauvagei,Caryophyllacées,AC
Spergularia salina ssp. typica,Caryophyllacées,C
Spergularia diandra,Caryophyllacées,CC
Spergularia bocconei(a),Caryophyllacées,CC
Buffonia tenuifolia,Alsinoidées,AC
Minuartia montana,Alsinoidées,AC
